importance,feature,model
0.0012496745639156703,Assault & Abuse Incidents,S3
0.0026555584483207717,Social & Health Challenges,S3
0.0003644884144754279,Emotional States & Surroundings,S3
-0.0015620932048945769,Abuse & Mental Health Treatments,S3
0.0004165581879718827,Descriptors & Frequency,S3
-0.0009893256964331964,Curiosity & Frequency,S3
0.0014579536579016228,Family Relationships,S3
-0.00911221036188492,Anxiety & Fear,S3
0.000937255922936786,Gender & Appearance,S3
-0.01004946628482164,Tech & Media Issues,S3
-0.003696953918250445,Sleep & Rest,S3
0.0011976047904191933,Entertainment & Celebrities,S3
0.0007289768289508114,Psychiatric Medications,S3
-0.00031241864097890647,Depression & Mood Disorders,S3
0.0011976047904191712,Social Interaction & Orientation,S3
0.0017183025253840523,State Changes & Return,S3
0.0015620932048945769,Support & Assistance,S3
0.001510023431398122,Social Media Platforms,S3
0.001666232751887553,Physical Illness & Symptoms,S3
0.0016662327518875309,French Language & Stopwords,S3
